,DBH.density,DBH.trees.ha,CD.density,CD.trees.ha
1 - 5,0,0,0,0
6 - 10,9,5.14285714285714,49,28
11 - 15,52,29.7142857142857,24,13.7142857142857
16 - 20,33,18.8571428571429,18,10.2857142857143
21 - 25,8,4.57142857142857,11,6.28571428571429
25>,3,1.71428571428571,3,1.71428571428571
Total,105,60,105,60
