,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Model 1,2.5654,0.8179,0.162,0.119,1.966,518.925,529.54,2.53
Model 2,2.5568,0.8192,0.161,0.119,1.955,517.131,525.09,2.53
Model 3,3.1618,0.7227,0.207,0.096,2.383,551.36,559.32,0
Model 4,2.5621,0.8184,0.162,0.119,1.962,519.049,529.67,3.8
