S.NO,SPECIES,HEIGHT,DIAMETER,PLOT,WOOD.DENSITY,BA,VOLUME,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha,VOL.m3.ha
41,Ficus asperifilia,11,15.3,P4,0.412,0.0183853856069709,0.20223924167668,60.4048319934185,0.0604048319934185,30.2024159967093,0.0302024159967093,28.3902710369067,0.0283902710369067,15.1012079983546,0.0151012079983546,0.10111962083834
42,Vitex doniana,6.8,9.5,P5,0.4,0.00708821842466197,0.0481998852877014,14.4767405825485,0.0144767405825485,7.23837029127424,0.00723837029127424,6.80406807379779,0.00680406807379779,3.61918514563712,0.00361918514563712,0.0240999426438507
43,Vitellaria paradoxa,8.2,9.5,P5,0.57,0.00708821842466197,0.0581233910822282,24.5554400174388,0.0245554400174388,12.2777200087194,0.0122777200087194,11.5410568081962,0.0115410568081962,6.13886000435971,0.00613886000435971,0.0290616955411141
44,Parkia biglobosa,8,13.7,P5,0.525,0.0147411381288067,0.117929105030454,45.204838159777,0.045204838159777,22.6024190798885,0.0226024190798885,21.2462739350952,0.0212462739350952,11.3012095399442,0.0113012095399442,0.0589645525152268
45,Parkia biglobosa,5.1,10.3,P5,0.525,0.00833228911548353,0.042494674488966,16.6931116777918,0.0166931116777918,8.34655583889592,0.00834655583889592,7.84576248856216,0.00784576248856216,4.17327791944796,0.00417327791944796,0.021247337244483
46,Syzygium guineense,6.7,15.6,P5,0.6,0.0191134497044403,0.12806011301975,55.8108848445781,0.0558108848445781,27.9054424222891,0.0279054424222891,26.2311158769517,0.0262311158769517,13.9527212111445,0.0139527212111445,0.064030056509875
47,Ficus sycomorus,6.1,11.5,P5,0.413,0.0103868907109313,0.0633600333366807,19.5050208092125,0.0195050208092125,9.75251040460624,0.00975251040460624,9.16735978032987,0.00916735978032987,4.87625520230312,0.00487625520230312,0.0316800166683403
48,Vitex doniana,14.5,18.5,P5,0.4,0.0268802521422777,0.389763656063026,111.337124288921,0.111337124288921,55.6685621444604,0.0556685621444604,52.3284484157928,0.0523284484157928,27.8342810722302,0.0278342810722302,0.194881828031513
49,Parkia biglobosa,6.5,9.9,P5,0.525,0.00769768739945839,0.0500349680964795,19.5782504713054,0.0195782504713054,9.78912523565272,0.00978912523565272,9.20177772151356,0.00920177772151356,4.89456261782636,0.00489456261782636,0.0250174840482398
50,Vitex doniana,9.9,10.5,P5,0.4,0.00865901475145687,0.085724246039423,25.3937639045484,0.0253937639045484,12.6968819522742,0.0126968819522742,11.9350690351378,0.0119350690351378,6.3484409761371,0.0063484409761371,0.0428621230197115
51,Vitex doniana,12,16.6,P5,0.4,0.0216424317905801,0.259709181486961,74.9130535391787,0.0749130535391787,37.4565267695893,0.0374565267695893,35.209135163414,0.035209135163414,18.7282633847947,0.0187282633847947,0.129854590743481
52,Khaya senegalensis,9.9,9.5,P5,0.648,0.00708821842466197,0.0701733624041535,33.4478877760134,0.0334478877760134,16.7239438880067,0.0167239438880067,15.7205072547263,0.0157205072547263,8.36197194400335,0.00836197194400335,0.0350866812020768
53,Parkia biglobosa,14.5,19.1,P6,0.525,0.0286521103989023,0.415455600784084,154.512225326525,0.154512225326525,77.2561126632624,0.0772561126632624,72.6207459034666,0.0726207459034666,38.6280563316312,0.0386280563316312,0.207727800392042
54,Parkia biglobosa,14.5,26.4,P6,0.525,0.0547391103961486,0.793717100744154,290.640799672641,0.290640799672641,145.32039983632,0.145320399836321,136.601175846141,0.136601175846141,72.6601999181602,0.0726601999181603,0.396858550372077
55,Khaya senegalensis,8.5,11.5,P6,0.648,0.0103868907109313,0.0882885710429157,41.8511432194827,0.0418511432194827,20.9255716097414,0.0209255716097414,19.6700373131569,0.0196700373131569,10.4627858048707,0.0104627858048707,0.0441442855214578
56,Khaya senegalensis,18.5,13.5,P6,0.648,0.0143138815279185,0.264806808266492,122.259718915159,0.122259718915159,61.1298594575793,0.0611298594575793,57.4620678901245,0.0574620678901245,30.5649297287896,0.0305649297287896,0.132403404133246
57,Khaya senegalensis,19,21,P6,0.648,0.0346360590058275,0.658085121110722,297.267785461331,0.297267785461331,148.633892730666,0.148633892730666,139.715859166826,0.139715859166826,74.3169463653328,0.0743169463653328,0.329042560555361
58,Vitex doniana,5.9,11.5,P6,0.4,0.0103868907109313,0.0612826551944944,18.3003486373982,0.0183003486373982,9.15017431869912,0.00915017431869912,8.60116385957717,0.00860116385957717,4.57508715934956,0.00457508715934956,0.0306413275972472
59,Vitex doniana,10,9.5,P6,0.4,0.00708821842466197,0.0708821842466197,21.0931816772446,0.0210931816772446,10.5465908386223,0.0105465908386223,9.91379538830495,0.00991379538830495,5.27329541931114,0.00527329541931114,0.0354410921233099
60,Milicia excelsa,10,9.9,P6,0.537,0.00769768739945839,0.0769768739945839,30.475431741037,0.030475431741037,15.2377158705185,0.0152377158705185,14.3234529182874,0.0143234529182874,7.61885793525926,0.00761885793525926,0.038488436997292
61,Anogeissus leiocarpus,10.1,11.5,P6,0.8,0.0103868907109313,0.104907596180406,60.8318097175233,0.0608318097175233,30.4159048587617,0.0304159048587617,28.590950567236,0.028590950567236,15.2079524293808,0.0152079524293808,0.0524537980902028
62,Elaeis guineensis,10.8,13.3,P6,0.313,0.0138929081123375,0.150043407613245,34.5180557782161,0.0345180557782161,17.259027889108,0.017259027889108,16.2234862157616,0.0162234862157615,8.62951394455402,0.00862951394455402,0.0750217038066223
63,Elaeis guineensis,7.8,13.1,P6,0.313,0.0134782178820636,0.105130099480096,24.3929451379235,0.0243929451379235,12.1964725689618,0.0121964725689618,11.4646842148241,0.0114646842148241,6.09823628448088,0.00609823628448088,0.0525650497400481
64,Pterocarpus samtelinoides,11,12.6,P7,0.6,0.0124689812420979,0.137158793663077,59.6778611115185,0.0596778611115185,29.8389305557592,0.0298389305557592,28.0485947224137,0.0280485947224137,14.9194652778796,0.0149194652778796,0.0685793968315384
65,Terminalia avicennoides,9.4,9.9,P7,0.556,0.00769768739945839,0.0723582615549089,29.6797846706907,0.0296797846706907,14.8398923353454,0.0148398923353454,13.9494987952246,0.0139494987952246,7.41994616767268,0.00741994616767268,0.0361791307774544
66,Acacia polyacanta,10,8.9,P7,0.6,0.00622113885227119,0.0622113885227119,27.5867143259478,0.0275867143259478,13.7933571629739,0.0137933571629739,12.9657557331955,0.0129657557331955,6.89667858148694,0.00689667858148694,0.0311056942613559
67,Daniella oliveri,12,13.2,P7,0.533,0.0136847775990371,0.164217331188446,63.3785107562381,0.0633785107562381,31.689255378119,0.031689255378119,29.7879000554319,0.0297879000554319,15.8446276890595,0.0158446276890595,0.0821086655942228
68,Parkia biglobosa,11.2,18.6,P7,0.525,0.0271716348608981,0.304322310442059,114.029337623063,0.114029337623063,57.0146688115316,0.0570146688115316,53.5937886828397,0.0535937886828397,28.5073344057658,0.0285073344057658,0.152161155221029
69,Kigelia Africana,8.1,19.6,P7,0.6,0.0301718558450764,0.244392032345119,104.871121959619,0.104871121959619,52.4355609798094,0.0524355609798094,49.2894273210208,0.0492894273210208,26.2177804899047,0.0262177804899047,0.122196016172559
70,Prosopis africana,10,11.5,P7,0.878,0.0103868907109313,0.103868907109313,65.9702144911132,0.0659702144911132,32.9851072455566,0.0329851072455566,31.0060008108232,0.0310060008108232,16.4925536227783,0.0164925536227783,0.0519344535546563
71,Daniella oliveri,13,10.4,P7,0.533,0.0084948665353068,0.110433264958988,43.028738163725,0.043028738163725,21.5143690818625,0.0215143690818625,20.2235069369507,0.0202235069369507,10.7571845409312,0.0107571845409312,0.0552166324794942
72,Pericopsis laxiflore,10,8.5,P8,0.653,0.00567450173054657,0.0567450173054657,27.3902547881061,0.0273902547881061,13.695127394053,0.013695127394053,12.8734197504099,0.0128734197504099,6.84756369702652,0.00684756369702652,0.0283725086527328
73,Burkia africana,12,10.9,P8,0.689,0.00933131557932508,0.111975786951901,56.034363735563,0.056034363735563,28.0171818677815,0.0280171818677815,26.3361509557146,0.0263361509557146,14.0085909338908,0.0140085909338908,0.0559878934759505
74,Sterculia setigera,10.4,15.4,P8,0.32,0.0186265028431339,0.193715629568592,45.2591537481144,0.0452591537481144,22.6295768740572,0.0226295768740572,21.2718022616138,0.0212718022616138,11.3147884370286,0.0113147884370286,0.0968578147842962
75,Crossopteryx febrifuga,13.2,8,P8,0.6,0.00502654824574367,0.0663504368438164,29.3766653585422,0.0293766653585422,14.6883326792711,0.0146883326792711,13.8070327185148,0.0138070327185148,7.34416633963554,0.00734416633963554,0.0331752184219082
76,Khaya senegalensis,16,17.3,P8,0.648,0.0235061816323222,0.376098906117156,172.186606265835,0.172186606265835,86.0933031329175,0.0860933031329175,80.9277049449424,0.0809277049449424,43.0466515664587,0.0430466515664587,0.188049453058578
77,Daniella oliveri,11.4,12.2,P8,0.533,0.0116898662640076,0.133264475409687,51.6909298507625,0.0516909298507625,25.8454649253813,0.0258454649253813,24.2947370298584,0.0242947370298584,12.9227324626906,0.0129227324626906,0.0666322377048434
78,Combretun nigricans,9,7.4,P8,0.796,0.00430084034276443,0.0387075630848799,22.8763759153226,0.0228763759153226,11.4381879576613,0.0114381879576613,10.7518966802016,0.0107518966802016,5.71909397883066,0.00571909397883066,0.0193537815424399
79,Terminaalia schimperiana,11,12.7,P8,0.556,0.0126676869774374,0.139344556751812,56.2642047483787,0.0562642047483787,28.1321023741894,0.0281321023741894,26.444176231738,0.026444176231738,14.0660511870947,0.0140660511870947,0.0696722783759059
80,Daniella oliveri,14,10.2,P8,0.533,0.00817128249198705,0.114397954887819,44.5358061885522,0.0445358061885522,22.2679030942761,0.0222679030942761,20.9318289086195,0.0209318289086195,11.1339515471381,0.0111339515471381,0.0571989774439094
81,Parkia biglobosa,1.7,11.9,P8,0.525,0.0111220233918713,0.0189074397661812,7.57314653598186,0.00757314653598186,3.78657326799093,0.00378657326799093,3.55937887191147,0.00355937887191147,1.89328663399546,0.00189328663399546,0.00945371988309058
82,Pseudocedrata koschyi,10,8.3,P8,0.6,0.00541060794764502,0.0541060794764502,24.0730501687684,0.0240730501687684,12.0365250843842,0.0120365250843842,11.3143335793212,0.0113143335793212,6.01826254219211,0.00601826254219211,0.0270530397382251
83,Daniella oliveri,17,16.4,P8,0.533,0.0211240690027378,0.359109173046542,136.017302887205,0.136017302887205,68.0086514436023,0.0680086514436023,63.9281323569862,0.0639281323569862,34.0043257218012,0.0340043257218012,0.179554586523271
