,DBH.density,DBH.trees.ha,THT.density,THT.trees.ha
1 - 5,0,0,1,0.5
6 - 10,18,9,37,18.5
11 - 15,43,21.5,37,18.5
16 - 20,17,8.5,7,3.5
21 - 25,4,2,1,0.5
25>,1,0.5,0,0
Total,83,41.5,83,41.5
