,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
Mean,643,0.643,2679.2,2.679
Standard Deviation,533.2,0.533,2221.6,2.222
Minimum,94,0.094,391.8,0.392
Maximum,2695.8,2.696,11232.5,11.232
Sample Size,127,127,127,127
