S.N,SPECIES,HEIGHT,DIAMETER,CROWN.DIAMETER,PLOT,WOOD.DENSITY,BA,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
30,30,Khaya senegalensis,10.3,43.8,6,P1,0.648,0.15067392525882,686.750311322249,0.686750311322249,457.833540881499,0.457833540881499,322.772646321457,0.322772646321457,215.181764214305,0.215181764214305
31,31,Khaya senegalensis,15.2,57,11.82,P1,0.648,0.255175863287831,1679.03337942446,1.67903337942446,1119.35558628298,1.11935558628298,789.145688329498,0.789145688329498,526.097125552999,0.526097125552999
32,32,Khaya senegalensis,12.4,42.3,9.97,P1,0.648,0.140530507978542,768.967937027682,0.768967937027682,512.645291351788,0.512645291351788,361.41493040301,0.36141493040301,240.94328693534,0.24094328693534
33,33,Khaya senegalensis,17.5,56,11.89,P1,0.648,0.24630086404144,1861.14596112816,1.86114596112816,1240.76397408544,1.24076397408544,874.738601730236,0.874738601730237,583.159067820158,0.583159067820158
34,34,Khaya senegalensis,11.9,34,7.72,P1,0.648,0.090792027688745,482.273001848753,0.482273001848753,321.515334565835,0.321515334565835,226.668310868914,0.226668310868914,151.112207245943,0.151112207245943
35,35,Khaya senegalensis,10,43.2,11.72,P1,0.648,0.146574146845885,649.496094179492,0.649496094179492,432.997396119661,0.432997396119661,305.263164264361,0.305263164264361,203.508776176241,0.203508776176241
36,36,Daniellia oliveri,10.3,41.7,8.71,P1,0.533,0.136572101235019,515.626858035202,0.515626858035202,343.751238690135,0.343751238690135,242.344623276545,0.242344623276545,161.563082184363,0.161563082184363
37,37,Daniellia oliveri,21.8,57.6,12.79,P1,0.533,0.260576261059352,2013.62709160105,2.01362709160105,1342.41806106737,1.34241806106737,946.404733052495,0.946404733052495,630.936488701663,0.630936488701663
38,38,Khaya senegalensis,12,40,6.86,P1,0.648,0.125663706143592,667.750572699519,0.667750572699519,445.167048466346,0.445167048466346,313.842769168774,0.313842769168774,209.228512779183,0.209228512779183
39,39,Khaya senegalensis,24.1,62,18.74,P1,0.648,0.301907054009979,3102.48350676834,3.10248350676834,2068.32233784556,2.06832233784556,1458.16724818112,1.45816724818112,972.111498787414,0.972111498787414
40,40,Khaya senegalensis,11.5,39.3,7.5,P1,0.648,0.121303960938572,618.881670706993,0.618881670706993,412.587780471329,0.412587780471329,290.874385232287,0.290874385232287,193.916256821524,0.193916256821524
41,41,Khaya senegalensis,8.7,27.1,5.51,P1,0.648,0.057680426518072,228.159794125245,0.228159794125245,152.10652941683,0.15210652941683,107.235103238865,0.107235103238865,71.4900688259101,0.0714900688259101
42,42,Khaya senegalensis,11.3,40.8,10.95,P1,0.648,0.130740519871793,654.523839212669,0.654523839212669,436.349226141779,0.436349226141779,307.626204429954,0.307626204429954,205.084136286636,0.205084136286636
43,43,Khaya senegalensis,15.4,55.2,9.62,P1,0.648,0.239313961979856,1597.34075759084,1.59734075759084,1064.89383839389,1.06489383839389,750.750156067693,0.750750156067693,500.500104045129,0.500500104045129
44,44,Khaya senegalensis,23.6,61,18.01,P1,0.648,0.292246656600191,2944.68078738588,2.94468078738588,1963.12052492392,1.96312052492392,1383.99997007136,1.38399997007136,922.666646714242,0.922666646714242
45,45,Khaya senegalensis,25.2,70,21.11,P1,0.648,0.38484510006475,4106.86636940705,4.10686636940705,2737.91091293803,2.73791091293803,1930.22719362131,1.93022719362131,1286.81812908088,1.28681812908088
46,46,Khaya senegalensis,23.7,62,16.21,P1,0.648,0.301907054009979,3052.2157816202,3.0522157816202,2034.81052108013,2.03481052108013,1434.54141736149,1.43454141736149,956.360944907661,0.956360944907661
47,47,Khaya senegalensis,24.2,61.3,20.27,P1,0.648,0.295128282461696,3046.7646875276,3.0467646875276,2031.17645835173,2.03117645835173,1431.97940313797,1.43197940313797,954.652935425314,0.954652935425314
48,48,Khaya senegalensis,10,42.7,10.67,P1,0.648,0.143200861734093,634.903150321606,0.634903150321606,423.268766881071,0.423268766881071,298.404480651155,0.298404480651155,198.936320434103,0.198936320434103
49,49,Daniellia oliveri,12.5,36.4,8.17,P1,0.533,0.104062115057508,477.699617801615,0.477699617801615,318.466411867743,0.318466411867743,224.518820366759,0.224518820366759,149.679213577839,0.149679213577839
50,50,Khaya senegalensis,14.2,42.3,7.3,P2,0.648,0.140530507978542,877.732321769761,0.877732321769761,585.15488117984,0.58515488117984,412.534191231788,0.412534191231788,275.022794154525,0.275022794154525
51,51,Albizia zygia,8.8,34.5,8.41,P2,0.804,0.0934820163983813,456.229043957612,0.456229043957612,304.152695971741,0.304152695971741,214.427650660078,0.214427650660078,142.951767106718,0.142951767106718
52,52,Khaya senegalensis,18,45,5.91,P2,0.648,0.159043128087983,1248.32900596451,1.24832900596451,832.219337309673,0.832219337309673,586.71463280332,0.58671463280332,391.143088535546,0.391143088535546
53,53,Daniellia oliveri,12.5,36.5,8.61,P2,0.533,0.104634670318625,480.264697427388,0.480264697427388,320.176464951592,0.320176464951592,225.724407790872,0.225724407790872,150.482938527248,0.150482938527248
54,54,Daniellia oliveri,13,38.6,5.94,P2,0.533,0.117021184753566,556.580454126091,0.556580454126091,371.053636084061,0.371053636084061,261.592813439263,0.261592813439263,174.395208959509,0.174395208959509
55,55,Daniellia oliveri,10.8,29.4,5.58,P2,0.533,0.0678866756514218,272.983498034968,0.272983498034968,181.988998689979,0.181988998689979,128.302244076435,0.128302244076435,85.53482938429,0.08553482938429
56,56,Khaya senegalensis,9.7,30.2,10.68,P2,0.648,0.0716314540945009,313.454879812007,0.313454879812007,208.969919874671,0.208969919874671,147.323793511643,0.147323793511643,98.2158623410954,0.0982158623410954
57,57,Khaya senegalensis,22,54.4,12.01,P2,0.648,0.232427590883187,2198.90192081302,2.19890192081302,1465.93461387535,1.46593461387535,1033.48390278212,1.03348390278212,688.989268521413,0.688989268521413
58,58,Khaya senegalensis,11.4,31.2,10.9,P2,0.648,0.0764537988177612,391.057997806959,0.391057997806959,260.705331871306,0.260705331871306,183.797258969271,0.18379725896927,122.531505979514,0.122531505979514
59,59,Khaya senegalensis,17.5,50.5,12.03,P2,0.648,0.200296166620434,1521.04539487798,1.52104539487798,1014.03026325198,1.01403026325198,714.891335592649,0.714891335592649,476.594223728433,0.476594223728433
60,60,Albizia zygia,10.4,39,11.65,P2,0.804,0.119459060652752,682.224984095694,0.682224984095694,454.816656063796,0.454816656063796,320.645742524976,0.320645742524976,213.763828349984,0.213763828349984
61,61,Albizia zygia,16.2,46.2,8.81,P2,0.804,0.167638525588205,1463.56750441203,1.46356750441203,975.711669608022,0.975711669608022,687.876727073655,0.687876727073655,458.58448471577,0.45858448471577
62,62,Daniellia oliveri,18,43,8.7,P2,0.533,0.145220120412188,944.011338228205,0.944011338228205,629.340892152137,0.629340892152137,443.685328967256,0.443685328967256,295.790219311504,0.295790219311504
63,63,Albizia zygia,25.2,67,18.09,P2,0.804,0.352565235549115,4653.82352337999,4.65382352337999,3102.54901558666,3.10254901558666,2187.29705598859,2.18729705598859,1458.19803732573,1.45819803732573
64,64,Albizia zygia,9,33.9,10.24,P2,0.804,0.0902587423357981,450.645945367259,0.450645945367259,300.43063024484,0.30043063024484,211.803594322612,0.211803594322612,141.202396215075,0.141202396215075
65,65,Albizia zygia,15.5,38.4,10.29,P2,0.804,0.115811671581934,977.064547183524,0.977064547183524,651.376364789016,0.651376364789016,459.220337176256,0.459220337176256,306.146891450837,0.306146891450837
66,66,Albizia zygia,24.1,60,17.82,P2,0.804,0.282743338823081,3592.07041991343,3.59207041991343,2394.71361327562,2.39471361327562,1688.27309735931,1.68827309735931,1125.51539823954,1.12551539823954
67,67,Albizia zygia,27.8,71,21.43,P2,0.804,0.395919214168654,5735.7337755071,5.7357337755071,3823.82251700473,3.82382251700473,2695.79487448834,2.69579487448834,1797.19658299222,1.79719658299222
68,68,Albizia zygia,18.4,55.7,10.85,P2,0.804,0.243668994795895,2387.35225466805,2.38735225466805,1591.5681697787,1.5915681697787,1122.05555969398,1.12205555969398,748.037039795989,0.748037039795989
69,69,Albizia zygia,17.1,53.5,11.81,P2,0.804,0.224800589318435,2054.45084170007,2.05445084170007,1369.63389446672,1.36963389446672,965.591895599034,0.965591895599034,643.727930399356,0.643727930399356
70,70,Albizia zygia,15.2,38.7,10,P2,0.804,0.117628297533872,973.27622210596,0.97327622210596,648.850814737307,0.648850814737307,457.439824389801,0.457439824389801,304.959882926534,0.304959882926534
71,71,Khaya senegalensis,15.4,51.4,10.36,P2,0.648,0.207499053176952,1389.73662097706,1.38973662097706,926.491080651373,0.926491080651373,653.176211859218,0.653176211859218,435.450807906145,0.435450807906145
72,72,Albizia zygia,10.7,31.2,7.97,P2,0.804,0.0764537988177612,453.746514883941,0.453746514883941,302.497676589294,0.302497676589294,213.260861995452,0.213260861995452,142.173907996968,0.142173907996968
73,73,Albizia zygia,26.3,71.5,21.12,P2,0.804,0.40151517608286,5508.42159134707,5.50842159134707,3672.28106089805,3.67228106089805,2588.95814793312,2.58895814793312,1725.97209862208,1.72597209862208
74,74,Khaya senegalensis,23.4,60,16.58,P2,0.648,0.282743338823081,2827.60139686152,2.82760139686152,1885.06759790768,1.88506759790768,1328.97265652491,1.32897265652491,885.981771016609,0.885981771016609
75,75,Khaya senegalensis,13.2,53.6,16.23,P2,0.648,0.225641750751433,1297.54400746951,1.29754400746951,865.029338313009,0.865029338313009,609.845683510671,0.609845683510671,406.563789007114,0.406563789007114
76,76,Khaya senegalensis,12,45.9,9.59,P2,0.648,0.165468470462738,873.477109493962,0.873477109493962,582.318072995975,0.582318072995975,410.534241462162,0.410534241462162,273.689494308108,0.273689494308108
77,77,Daniellia oliveri,8.9,32.3,8.33,P2,0.533,0.0819398049890924,271.561869815716,0.271561869815716,181.041246543811,0.181041246543811,127.634078813386,0.127634078813386,85.0893858755909,0.085089385875591
78,78,Daniellia oliveri,21.3,58.8,16.04,P2,0.533,0.271546702605687,2049.38641815102,2.04938641815102,1366.25761210068,1.36625761210068,963.211616530981,0.963211616530981,642.141077687321,0.642141077687321
79,79,Khaya senegalensis,23.5,66,18.7,P2,0.648,0.342119439975929,3419.98550758659,3.41998550758659,2279.99033839106,2.27999033839106,1607.3931885657,1.6073931885657,1071.5954590438,1.0715954590438
80,80,Daniellia oliveri,20.9,57.3,14.87,P2,0.533,0.257868993590121,1912.85221227566,1.91285221227566,1275.23480818377,1.27523480818377,899.040539769558,0.899040539769558,599.360359846372,0.599360359846372
81,81,Albizia zygia,8.8,27.2,9.04,P2,0.804,0.0581068977207968,286.839235612641,0.286839235612641,191.226157075094,0.191226157075094,134.814440737941,0.134814440737941,89.8762938252942,0.0898762938252942
82,82,Daniellia oliveri,18.6,57.8,11.71,P3,0.533,0.262388960020473,1736.3153088922,1.7363153088922,1157.54353926146,1.15754353926146,816.068195179332,0.816068195179332,544.045463452888,0.544045463452888
83,83,Daniellia oliveri,10.2,29,5.96,P3,0.533,0.0660519855417254,251.359601845419,0.251359601845419,167.573067896946,0.167573067896946,118.139012867347,0.118139012867347,78.7593419115647,0.0787593419115647
84,84,Daniellia oliveri,11.5,26.2,7.74,P3,0.533,0.0539128715282544,231.774702913875,0.231774702913875,154.51646860925,0.15451646860925,108.934110369521,0.108934110369521,72.6227402463475,0.0726227402463475
85,85,Daniellia oliveri,9.6,30,9.25,P3,0.533,0.0706858347057703,253.126860633029,0.253126860633029,168.751240422019,0.168751240422019,118.969624497524,0.118969624497524,79.313082998349,0.079313082998349
86,86,Daniellia oliveri,15.6,35.2,10.88,P3,0.533,0.0973139740375975,555.44582575149,0.55544582575149,370.29721716766,0.37029721716766,261.0595381032,0.2610595381032,174.0396920688,0.1740396920688
87,87,Daniellia oliveri,17.4,47.6,11.41,P3,0.533,0.17795237426994,1113.69343161204,1.11369343161204,742.46228774136,0.74246228774136,523.435912857659,0.523435912857659,348.957275238439,0.348957275238439
88,88,Khaya senegalensis,16.7,50.7,13.85,P3,0.648,0.201885812503151,1464.39784940994,1.46439784940994,976.265232939963,0.976265232939963,688.266989222674,0.688266989222674,458.844659481783,0.458844659481783
89,89,Khaya senegalensis,18.1,56.2,15.88,P3,0.648,0.248063297520104,1936.83153256017,1.93683153256018,1291.22102170678,1.29122102170678,910.310820303282,0.910310820303282,606.873880202188,0.606873880202188
90,90,Daniellia oliveri,15.4,34,8.53,P3,0.533,0.090792027688745,512.587356713987,0.512587356713987,341.724904475992,0.341724904475992,240.916057655574,0.240916057655574,160.610705103716,0.160610705103716
91,91,Daniellia oliveri,19.2,57.2,12.89,P3,0.533,0.256969712693031,1754.84946510783,1.75484946510783,1169.89964340522,1.16989964340522,824.77924860068,0.82477924860068,549.852832400453,0.549852832400453
92,92,Khaya senegalensis,10,40,12.15,P3,0.648,0.125663706143592,558.899052072165,0.558899052072165,372.59936804811,0.37259936804811,262.682554473918,0.262682554473918,175.121702982612,0.175121702982612
93,93,Khaya senegalensis,14.5,45.7,8.07,P3,0.648,0.164029621027394,1041.75084804802,1.04175084804802,694.500565365344,0.694500565365344,489.622898582567,0.489622898582567,326.415265721712,0.326415265721712
94,94,Khaya senegalensis,13,35.5,5.3,P3,0.648,0.0989798035421634,571.961408493985,0.571961408493985,381.307605662656,0.381307605662656,268.821861992173,0.268821861992173,179.214574661449,0.179214574661449
95,95,Khaya senegalensis,13.5,40.3,9.01,P3,0.648,0.127555730319216,760.104805245067,0.760104805245067,506.736536830044,0.506736536830044,357.249258465181,0.357249258465181,238.166172310121,0.238166172310121
96,96,Khaya senegalensis,13.5,35.5,6.76,P3,0.648,0.0989798035421634,593.422177962335,0.593422177962335,395.614785308223,0.395614785308223,278.908423642298,0.278908423642298,185.938949094865,0.185938949094865
97,97,Khaya senegalensis,13.5,34.7,4.83,P3,0.648,0.0945690074565234,567.598400313334,0.567598400313334,378.398933542223,0.378398933542223,266.771248147267,0.266771248147267,177.847498764845,0.177847498764845
98,98,Khaya senegalensis,21.9,65,17.38,P3,0.648,0.331830724035422,3098.79322801089,3.09879322801089,2065.86215200726,2.06586215200726,1456.43281716512,1.45643281716512,970.955211443413,0.970955211443413
99,99,Khaya senegalensis,12.5,34.4,8.19,P3,0.648,0.0929408770638004,517.676585800949,0.517676585800949,345.117723867299,0.345117723867299,243.307995326446,0.243307995326446,162.205330217631,0.162205330217631
100,100,Khaya senegalensis,15,42.7,8.2,P3,0.648,0.143200861734093,943.132152756293,0.943132152756293,628.754768504195,0.628754768504195,443.272111795458,0.443272111795458,295.514741196972,0.295514741196972
101,101,Parkia biglobosa,23.9,61,16.85,P3,0.525,0.292246656600191,2427.56425263691,2.42756425263691,1618.3761684246,1.6183761684246,1140.95519873935,1.14095519873935,760.636799159564,0.760636799159564
102,102,Daniellia oliveri,13.9,39.2,8.29,P3,0.533,0.120687423380306,612.31890481181,0.61231890481181,408.212603207873,0.408212603207873,287.789885261551,0.287789885261551,191.8599235077,0.1918599235077
103,103,Khaya senegalensis,22.3,63,19.87,P3,0.648,0.311724531052447,2967.36225967249,2.9673622596725,1978.24150644833,1.97824150644833,1394.66026204607,1.39466026204607,929.773508030715,0.929773508030715
104,104,Daniellia oliveri,12.8,52.7,10.97,P3,0.533,0.21812784652221,1006.72782324115,1.00672782324115,671.151882160769,0.671151882160769,473.162076923342,0.473162076923342,315.441384615561,0.315441384615561
105,105,Daniellia oliveri,25.4,68,17.21,P3,0.533,0.36316811075498,3232.03403339297,3.23203403339297,2154.68935559531,2.15468935559531,1519.05599569469,1.51905599569469,1012.7039971298,1.0127039971298
106,106,Khaya senegalensis,24.6,62,16.88,P3,0.648,0.301907054009979,3165.2900486969,3.1652900486969,2110.19336579793,2.11019336579793,1487.68632288754,1.48768632288754,991.790881925028,0.991790881925028
107,107,Khaya senegalensis,19.2,57.5,12,P3,0.648,0.259672267773281,2145.28947464408,2.14528947464408,1430.19298309606,1.43019298309606,1008.28605308272,1.00828605308272,672.190702055146,0.672190702055146
108,108,Khaya senegalensis,17,55,12.88,P3,0.648,0.237582944427728,1746.70026892213,1.74670026892213,1164.46684594809,1.16446684594809,820.949126393402,0.820949126393402,547.299417595601,0.547299417595601
109,109,Daniellia oliveri,13.5,36.5,5.11,P3,0.533,0.104634670318625,517.728710948348,0.517728710948348,345.152473965565,0.345152473965565,243.332494145723,0.243332494145723,162.221662763816,0.162221662763816
110,110,Khaya senegalensis,16.5,46.5,10.42,P3,0.648,0.169822717880613,1222.48844696466,1.22248844696466,814.992297976443,0.814992297976443,574.569570073392,0.574569570073392,383.046380048928,0.383046380048928
111,111,Khaya senegalensis,9.8,28.5,7.44,P3,0.648,0.0637939658219577,282.752261105906,0.282752261105906,188.501507403937,0.188501507403937,132.893562719776,0.132893562719776,88.5957084798504,0.0885957084798504
112,112,Khaya senegalensis,18.5,53.2,12.57,P3,0.648,0.222286529797399,1777.67098155612,1.77767098155612,1185.11398770408,1.18511398770408,835.505361331376,0.835505361331376,557.003574220917,0.557003574220917
113,113,Khaya senegalensis,13,56.2,12.53,P3,0.648,0.248063297520104,1402.18807658251,1.40218807658251,934.792051055009,0.934792051055009,659.028395993781,0.659028395993781,439.352263995854,0.439352263995854
114,114,Daniellia oliveri,22.9,60.5,15.93,P3,0.533,0.287475362757551,2325.34149923402,2.32534149923402,1550.22766615601,1.55022766615601,1092.91050463999,1.09291050463999,728.607003093326,0.728607003093326
115,115,Khaya senegalensis,15.5,53.7,11.07,P3,0.648,0.226484482980759,1523.30130118371,1.52330130118371,1015.53420078914,1.01553420078914,715.951611556346,0.715951611556346,477.301074370897,0.477301074370897
116,116,Khaya senegalensis,9.7,45.3,11.33,P3,0.648,0.161170771712627,691.679927911797,0.691679927911797,461.119951941198,0.461119951941198,325.089566118544,0.325089566118545,216.726377412363,0.216726377412363
117,117,Khaya senegalensis,10.8,50,10.67,P3,0.648,0.196349540849362,931.372270753644,0.931372270753644,620.914847169096,0.620914847169096,437.744967254213,0.437744967254213,291.829978169475,0.291829978169475
118,118,Daniellia oliveri,11.5,46.5,8.98,P3,0.533,0.169822717880613,710.248093219976,0.710248093219976,473.498728813317,0.473498728813318,333.816603813389,0.333816603813389,222.544402542259,0.222544402542259
119,119,Daniellia oliveri,8.9,33.4,7.63,P3,0.533,0.0876158775159657,289.906911965967,0.289906911965967,193.271274643978,0.193271274643978,136.256248624005,0.136256248624005,90.8374990826697,0.0908374990826697
120,120,Khaya senegalensis,28.1,73.4,23.22,P3,0.648,0.423137972919356,5010.58399854049,5.01058399854049,3340.38933236033,3.34038933236033,2354.97447931403,2.35497447931403,1569.98298620935,1.56998298620935
121,121,Khaya senegalensis,15,52.3,13.78,P3,0.648,0.214829174235941,1401.17582433053,1.40117582433053,934.117216220355,0.934117216220355,658.552637435351,0.658552637435351,439.035091623567,0.439035091623567
122,122,Khaya senegalensis,16.4,58.9,10.87,P3,0.648,0.272471116244006,1927.81307328447,1.92781307328447,1285.20871552298,1.28520871552298,906.072144443699,0.906072144443699,604.048096295799,0.604048096295799
123,123,Khaya senegalensis,9,38.7,9.29,P3,0.648,0.117628297533872,472.786168759731,0.472786168759731,315.190779173154,0.315190779173154,222.209499317073,0.222209499317073,148.139666211382,0.148139666211382
124,124,Daniellia oliveri,10.6,33.1,10.72,P3,0.533,0.0860490081799878,337.834181446987,0.337834181446987,225.222787631325,0.225222787631325,158.782065280084,0.158782065280084,105.854710186723,0.105854710186723
125,125,Daniellia oliveri,15.5,57.2,10.37,P3,0.533,0.256969712693031,1423.97251193308,1.42397251193308,949.315007955388,0.949315007955388,669.267080608548,0.669267080608548,446.178053739032,0.446178053739032
126,126,Daniellia oliveri,8.8,28.9,6.95,P3,0.533,0.0655972400051183,216.166552988772,0.216166552988772,144.111035325848,0.144111035325848,101.598279904723,0.101598279904723,67.7321866031486,0.0677321866031486
127,127,Daniellia oliveri,10.8,34.2,7.83,P3,0.533,0.0918633107836191,366.725715527709,0.366725715527709,244.483810351806,0.244483810351806,172.361086298023,0.172361086298023,114.907390865349,0.114907390865349
