,Statistics,Rank,AIC,BIC
Weibull,2.238,4,1787.93,1795.33
Gamma,1.444,3,1717.16,1724.56
Lognormal,0.814,1,1671.31,1678.71
Normal,3.218,6,1862.48,1869.88
Cauchy,2.618,5,1764.49,1771.89
Exponential,9.826,7,1994.66,1998.36
Logistics,1.381,2,1795.38,1802.78
