,Statistics,Rank,AIC,BIC
Weibull,0.148,4,1787.93,1795.33
Gamma,0.132,2,1717.16,1724.56
Lognormal,0.112,1,1671.31,1678.71
Normal,0.172,6,1862.48,1869.88
Cauchy,0.166,5,1764.49,1771.89
Exponential,0.369,7,1994.66,1998.36
Logistics,0.142,3,1795.38,1802.78
