,Training_Diameter,Testing_Diameter,All_Diameter,Training_Crown_Diameter,Testing_Crown_Diameter,All_Crown_Diameter
Mean,11.61,11.17,11.51,15.99,15.72,15.93
Minimum,1.5,7.32,1.5,6.9,11.2,6.9
Maximum,19,17.89,19.13,26.4,24.4,26.4
Standard_Deviation,3.5,3.42,3.47,4.29,3.89,4.18
Obsersavations(n),59,17,76,59,17,76
