,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Model 1,2.2395,0.7224,0.125,-0.042,1.817,339.383,348.71,0
Model 2,2.2351,0.7236,0.124,-0.044,1.83,337.543,344.54,1.69
Model 3,2.819,0.561,0.156,0.013,2.251,372.03,379.02,0
Model 4,2.229,0.7251,0.123,-0.044,1.831,339.391,348.71,0
