S.N,SPECIES,HEIGHT,DIAMETER,PLOT,FOREST,COUNT,BA
89,Khaya senegalensis,18.1,56.2,P3,FOR,1,0.248063297520104
90,Daniellia oliveri,15.4,34,P3,FOR,1,0.090792027688745
91,Daniellia oliveri,19.2,57.2,P3,FOR,1,0.256969712693031
92,Khaya senegalensis,10,40,P3,FOR,1,0.125663706143592
93,Khaya senegalensis,14.5,45.7,P3,FOR,1,0.164029621027394
94,Khaya senegalensis,13,35.5,P3,FOR,1,0.0989798035421634
95,Khaya senegalensis,13.5,40.3,P3,FOR,1,0.127555730319216
96,Khaya senegalensis,13.5,35.5,P3,FOR,1,0.0989798035421634
97,Khaya senegalensis,13.5,34.7,P3,FOR,1,0.0945690074565234
98,Khaya senegalensis,21.9,65,P3,FOR,1,0.331830724035422
99,Khaya senegalensis,12.5,34.4,P3,FOR,1,0.0929408770638004
100,Khaya senegalensis,15,42.7,P3,FOR,1,0.143200861734093
101,Parkia biglobosa,23.9,61,P3,FOR,1,0.292246656600191
102,Daniellia oliveri,13.9,39.2,P3,FOR,1,0.120687423380306
103,Khaya senegalensis,22.3,63,P3,FOR,1,0.311724531052447
104,Daniellia oliveri,12.8,52.7,P3,FOR,1,0.21812784652221
105,Daniellia oliveri,25.4,68,P3,FOR,1,0.36316811075498
106,Khaya senegalensis,24.6,62,P3,FOR,1,0.301907054009979
107,Khaya senegalensis,19.2,57.5,P3,FOR,1,0.259672267773281
108,Khaya senegalensis,17,55,P3,FOR,1,0.237582944427728
109,Daniellia oliveri,13.5,36.5,P3,FOR,1,0.104634670318625
110,Khaya senegalensis,16.5,46.5,P3,FOR,1,0.169822717880613
111,Khaya senegalensis,9.8,28.5,P3,FOR,1,0.0637939658219577
112,Khaya senegalensis,18.5,53.2,P3,FOR,1,0.222286529797399
113,Khaya senegalensis,13,56.2,P3,FOR,1,0.248063297520104
114,Daniellia oliveri,22.9,60.5,P3,FOR,1,0.287475362757551
115,Khaya senegalensis,15.5,53.7,P3,FOR,1,0.226484482980759
116,Khaya senegalensis,9.7,45.3,P3,FOR,1,0.161170771712627
117,Khaya senegalensis,10.8,50,P3,FOR,1,0.196349540849362
118,Daniellia oliveri,11.5,46.5,P3,FOR,1,0.169822717880613
119,Daniellia oliveri,8.9,33.4,P3,FOR,1,0.0876158775159657
120,Khaya senegalensis,28.1,73.4,P3,FOR,1,0.423137972919356
121,Khaya senegalensis,15,52.3,P3,FOR,1,0.214829174235941
122,Khaya senegalensis,16.4,58.9,P3,FOR,1,0.272471116244006
123,Khaya senegalensis,9,38.7,P3,FOR,1,0.117628297533872
124,Daniellia oliveri,10.6,33.1,P3,FOR,1,0.0860490081799878
125,Daniellia oliveri,15.5,57.2,P3,FOR,1,0.256969712693031
126,Daniellia oliveri,8.8,28.9,P3,FOR,1,0.0655972400051183
127,Daniellia oliveri,10.8,34.2,P3,FOR,1,0.0918633107836191
