Index,Value
berger_parker,0.598425196850394
brillouin,0.951532629227875
dominance,0.437906875813752
heip_e,0.43276567193133
invsimpson,2.28359054226249
kempton_taylor_q,1.83953566123753
margalef,0.825731939871103
mcintosh_d,0.371192700400353
mcintosh_e,0.683175191319156
menhinick,0.443678254708057
pielou_e,0.624249490206976
richness,5
shannon,1.00469079635677
simpson,0.562093124186248
simpson_e,0.456718108452499
strong,0.44251968503937
