,Training_Diameter,Testing_Diameter,All_Diameter,Training_Crown_Diameter,Testing_Crown_Diameter,All_Crown_Diameter
Mean,12.06,14.89,12.78,10.2,12.67,10.83
Minimum,6.9,8.5,6.9,4.9,5.85,4.9
Maximum,22,24.5,24.5,21.5,27.3,27.3
Standard_Deviation,3.42,5.72,4.23,3.64,7.6,4.96
Obsersavations(n),29,10,39,29,10,39
