,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Model 1,2.4749,0.5254,0.205,0.221,1.883,185.519,192.17,3.45
Model 2,2.5107,0.526,0.194,0.155,1.864,187.591,192.58,0
Model 3,2.7807,0.4618,0.222,-0.035,2.137,204.854,209.84,0
Model 4,2.5035,0.5176,0.206,0.193,1.916,187.135,193.79,0
