,DBH.density,DBH.trees.ha,CD.density,CD.trees.ha
1 - 5,0,0,1,0.571428571428571
6 - 10,9,5.14285714285714,18,10.2857142857143
11 - 15,21,12,14,8
16 - 20,6,3.42857142857143,3,1.71428571428571
21 - 25,3,1.71428571428571,2,1.14285714285714
25>,0,0,1,0.571428571428571
Total,39,22.2857142857143,39,22.2857142857143
