S/NO,SPECIES,,,HEIGHT,DIAMETER,PLOT,FOREST,COUNT
108,Daniella oliveri,,,8,6.7,P7,FOR,1
109,Khaya senegalensis,,,9.2,9.5,P7,FOR,1
110,Parkia biglobosa,,,10,10.2,P7,FOR,1
111,Daniella oliveri,,,16.4,16.6,P8,FOR,1
112,Daniella oliveri,,,9.4,9.5,P8,FOR,1
113,Sterculia setigera,setigera,,9.1,9.5,P8,FOR,1
114,Prosopis africana,,,10,17.2,P8,FOR,1
115,Parkia biglobosa,,,9.9,20.4,P8,FOR,1
116,Daniella oliveri,,,10.1,10.5,P8,FOR,1
117,Daniella oliveri,,,9.1,7.6,P8,FOR,1
118,Parkia biglobosa,,,17.5,22.3,P8,FOR,1
119,Daniella oliveri,,,10.3,10.5,P8,FOR,1
120,Daniella oliveri,,,7.3,6.4,P8,FOR,1
121,Daniella oliveri,,,9.4,8.6,P8,FOR,1
122,Sterculia setigera,setigera,,5.6,8.6,P8,FOR,1
123,Prosopis africana,,,11,12.7,P8,FOR,1
124,Parkia biglobosa,,,10.5,17.8,P8,FOR,1
125,Sterculia setigera,setigera,,6.2,9.9,P8,FOR,1
126,Parkia biglobosa,,,7,7.2,P8,FOR,1
127,Daniella oliveri,,,9.2,8.6,P8,FOR,1
128,Daniella oliveri,,,10.4,11.5,P8,FOR,1
