,RF,RD,RDo,IVI
Prosopis africana,15.9,25.8,35.1,76.8
Daniella oliveri,18.2,34.4,23.5,76
Parkia biglobosa,18.2,18,25.6,61.8
Vitex donina,11.4,5.5,6.1,22.9
Sterculia setigera,11.4,7,3.9,22.3
Khaya senegalensis,6.8,3.1,2.7,12.7
Azdirachta indica,4.5,1.6,0.8,6.9
Magifera indica,2.3,0.8,0.9,3.9
Gmelina aborea,2.3,0.8,0.4,3.5
Anogeissus leiocarpus,2.3,0.8,0.4,3.4
Quassia undulata,2.3,0.8,0.3,3.3
Anthocleista djalonensis,2.3,0.8,0.2,3.2
Ficus exaspirata,2.3,0.8,0.1,3.2
Total,100,100,100,300
