RF,RD,RDo,IVI
9.4,18.4,22.8,50.5
9.4,18.4,14,41.8
10.4,14.4,14.2,39
8.3,6,4,18.4
2.1,2.7,10.7,15.5
6.2,6.4,2.2,14.8
5.2,5.7,3.6,14.5
3.1,2.3,7.8,13.3
3.1,4,4.2,11.3
4.2,3.3,1.3,8.8
4.2,2.7,1,7.9
4.2,1.7,1.3,7.1
4.2,1.7,0.9,6.7
1,0.3,3.9,5.2
3.1,1.3,0.7,5.2
2.1,1.7,1.4,5.2
2.1,1,1.3,4.4
2.1,1.3,1,4.4
2.1,1,0.9,4
2.1,0.7,0.3,3
2.1,0.7,0.2,3
1,0.3,1.1,2.4
1,1,0.3,2.3
1,1,0.3,2.3
1,0.3,0.2,1.6
1,0.3,0.2,1.5
1,0.3,0.1,1.5
1,0.3,0.1,1.5
1,0.3,0.1,1.5
1,0.3,0.1,1.4
100,100,100,300
