Species,Frequency,Trees.HA,RF...,RD...,RDo...,IVI
Anacadium occidentale,7,2.8,2.3,2.3,7.8,12.5
Daniella oliveri,55,22,18.4,18.4,22.8,59.5
Azadirachta indica,43,17.2,14.4,14.4,14.2,42.9
Gmelina arborea,55,22,18.4,18.4,14,50.8
Albizia zygia,10,4,3.3,3.3,1.3,8
Crossopteryx febrifuga,5,2,1.7,1.7,1.3,4.6
Syzygium guineenses,12,4.8,4,4,4.2,12.2
Khaya senegalensis,1,0.4,0.3,0.3,3.9,4.5
Lophira lanceolata,19,7.6,6.4,6.4,2.2,14.9
Hannoa undulata,18,7.2,6,6,4,16.1
Detarium microcarpum,17,6.8,5.7,5.7,3.6,14.9
Terminalia avicennoides,1,0.4,0.3,0.3,0.1,0.8
Burkea africana,8,3.2,2.7,2.7,1,6.4
Terminalia schimperiana,1,0.4,0.3,0.3,0.2,0.8
Parinari curitellifolia,5,2,1.7,1.7,0.9,4.2
Vitellaria paradoxa,4,1.6,1.3,1.3,1,3.6
Ptericarpus eriaceus,1,0.4,0.3,0.3,1.1,1.7
Mangifera indica,8,3.2,2.7,2.7,10.7,16
Elaeis guineensis,3,1.2,1,1,1.3,3.3
Ficus sycomorus,3,1.2,1,1,0.9,2.9
Combretum nigricans,1,0.4,0.3,0.3,0.2,0.9
Terminalia mentalis,4,1.6,1.3,1.3,0.7,3.4
Maranthes polyandra,2,0.8,0.7,0.7,0.3,1.6
Kuassia undulata,5,2,1.7,1.7,1.4,4.8
Scrychinos spinosa,2,0.8,0.7,0.7,0.2,1.6
Trichilia emetica,3,1.2,1,1,0.3,2.3
Pericopsis laxiflora,1,0.4,0.3,0.3,0.1,0.7
Lannea schrimperiana,3,1.2,1,1,0.3,2.3
Parkia biglobosa,1,0.4,0.3,0.3,0.1,0.8
Anthocleista djalonensis,1,0.4,0.3,0.3,0.1,0.8
Total,299,119.6,100,100,100,300
