,RF,RD,RDo,IVI
Khaya senegalensis,10,46.1,46.9,102.9
Daniella oliveri,10,23.7,25.7,59.4
Azdirachta indica,10,6.6,6.2,22.8
Vitex donina,10,5.3,4.3,19.5
Albizia zygia,10,5.3,4.2,19.4
Eucalyptus calmadalutases,10,2.6,4.5,17.2
Ficus sycomorus,10,2.6,2.3,15
Senna siamea,10,2.6,2.1,14.7
Stereospermum kunthianum,10,2.6,2.1,14.7
Combretum nigricans,10,2.6,1.9,14.5
Total,100,100,100,300
