,DBH.density,DBH.trees.ha,THT.density,THT.trees.ha
1 - 5,0,0,0,0
5 - 10,9,5.14285714285714,9,5.14285714285714
10 - 15,52,29.7142857142857,36,20.5714285714286
15 - 20,33,18.8571428571429,31,17.7142857142857
20 - 25,8,4.57142857142857,22,12.5714285714286
25>,3,1.71428571428571,7,4
Total,105,60,105,60
