,DBH.density,DBH.trees.ha,THT.density,THT.trees.ha
1 - 5,0,0,0,0
5 - 10,1,1,75,75
10 - 15,16,16,56,56
15 - 20,27,27,10,10
20 - 25,47,47,2,2
25>,52,52,0,0
Total,143,143,143,143
