,Training_Diameter,Testing_Diameter,All_Diameter,Training_Height,Testing_Height,All_Height
Mean,25.24,26.75,25.62,10.11,10.38,10.18
Minimum,11,9.7,9.7,5.7,6.2,5.7
Maximum,73,55.4,73.2,22.3,19.3,22.3
Standard_Deviation,11.01,11.39,11.09,3.01,3.19,11.09
Obsersavations(n),107,36,143,107,36,143
