,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Power_Values,1.444,0.768,0.122,0.02,1.181,388.347,396.37,2.8
Curtis,1.626,0.706,0.135,0,1.318,413.665,421.68,1.87
Logistics,1.383,0.787,0.116,0,1.118,381.05,391.74,0.93
Naslund,1.451,0.766,0.124,0,1.184,389.266,397.28,3.74
