,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
SVR_Values,1.017,0.94,0.081,-0.005,0.769,-,-,5.72
ANN_Values,1.142,0.924,0.096,0,0.895,-,-,3.6
Power_Values,1.78,0.821,0.161,-0.098,1.472,1889.557,1902.03,1.06
Chapman,1.191,0.918,0.106,0.027,0.948,1512.424,1529.05,4.03
Logistics,1.149,0.923,0.099,0.009,0.909,1478.6,1495.23,2.54
Weibull,1.168,0.821,0.102,0.014,0.929,1494.326,1510.95,2.54
