,Species,Frequency
1,Tectona grandis,46
2,Gmelina arborea,390
3,Kashier(Tiv),18
4,Khaya senegalensis,19
5,Daniella olivera,58
6,Vitex doniana,10
7,Anthocleista djalonensis,17
8,Mangifera indica,1
9,Afzelia africana,8
10,Pterocarpus erinaceus,9
11,Parkia biglobosa,2
12,Lannea schimperi,9
13,Sarcocephalus latifolius,2
14,Ficus sur,1
15,Total,590
