,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Power,1.595,0.677,0.147,0.031,1.291,813.028,823.13,4.21
Curtis,1.839,0.569,0.163,0,1.42,873.977,884.07,1.4
Logistics,1.507,0.711,0.144,0,1.232,790.734,804.2,1.87
Naslund,1.523,0.705,0.148,0,1.261,793.262,803.36,1.87
