,Statistics,Rank,AIC,BIC
Weibull,0.15,4,1052.79,1059.25
Gamma,0.041,1,1038.52,1044.97
Lognormal,0.062,2,1040.45,1046.9
Normal,0.219,5,1058.1,1064.55
Cauchy,0.468,6,1121.1,1127.55
Exponential,7.169,7,1276.06,1279.29
Logistics,0.148,3,1057.58,1064.03
