,Statistics,Rank,AIC,BIC
Weibull,2.097,1,640.59,646.35
Gamma,5.237,5,672.75,678.52
Lognormal,6.056,6,683.28,689.05
Normal,3.76,3,656.33,662.09
Cauchy,4.129,4,674.5,680.26
Exponential,41.818,7,1002.87,1005.75
Logistics,3.039,2,655.38,661.15
