,Statistics,Rank,AIC,BIC
Weibull,0.105,2.5,640.59,646.35
Gamma,0.175,5,672.75,678.52
Lognormal,0.188,6,683.28,689.05
Normal,0.148,4,656.33,662.09
Cauchy,0.105,2.5,674.5,680.26
Exponential,0.451,7,1002.87,1005.75
Logistics,0.098,1,655.38,661.15
