,Shape,Scale,Location,Rate
Weibull,7.245,17.436,-,-
Gamma,27.93,-,-,1.714
Lognormal,-,0.198,2.773,-
Normal,-,2.863,16.3,-
Cauchy,-,1.327,17.248,-
Exponential,-,-,-,0.061
Logistics,-,1.59,16.618,-
