,Statistics,Rank,AIC,BIC
Weibull,0.366,1,640.59,646.35
Gamma,0.997,5,672.75,678.52
Lognormal,1.155,6,683.28,689.05
Normal,0.709,4,656.33,662.09
Cauchy,0.565,3,674.5,680.26
Exponential,8.843,7,1002.87,1005.75
Logistics,0.411,2,655.38,661.15
