,RF,RD,RDo,IVI
Khaya senegalensis,9.1,14.3,43.7,67.1
Pterocarpus erinaceus,9.1,20,20,49.1
Vitex donina,9.1,14.3,7.1,30.4
Daniella oliveri,9.1,8.6,5.4,23
Terminalia avicennioides,9.1,8.6,5.3,22.9
Crossopteryx febrifuga,9.1,8.6,4.5,22.1
Kegelia africana,9.1,5.7,3.8,18.6
Lannea schimperiana,9.1,5.7,3,17.8
Prosopis africana,9.1,5.7,2.8,17.6
Pseudocedrala koschyi,9.1,5.7,2.8,17.6
Acacia polycatha,9.1,2.9,1.7,13.7
Total,100,100,100,300
