,DBH,THT,CD,BA
Mean,8.2,9.7,8.1,0.007
Standard Deviation,4.6,3.4,2.2,0.011
Minimum,2.1,4.9,4.8,0
Maximum,25.1,22.4,15.3,0.05
Sample Size,35,35,35,35
