S/N,SPECIES,HEIGHT,DIAMETER,CROWN DIAMETER,PLOT,WOOD-DENSITY
106,Khaya senegalensis,24.6,62,16.88,P3,0.648
107,Khaya senegalensis,19.2,57.5,12.00,P3,0.648
108,Khaya senegalensis,17,55,12.88,P3,0.648
109,Daniellia oliveri,13.5,36.5,5.11,P3,0.533
110,Khaya senegalensis,16.5,46.5,10.42,P3,0.648
111,Khaya senegalensis,9.8,28.5,7.44,P3,0.648
112,Khaya senegalensis,18.5,53.2,12.57,P3,0.648
113,Khaya senegalensis,13,56.2,12.53,P3,0.648
114,Daniellia oliveri,22.9,60.5,15.93,P3,0.533
115,Khaya senegalensis,15.5,53.7,11.07,P3,0.648
116,Khaya senegalensis,9.7,45.3,11.33,P3,0.648
117,Khaya senegalensis,10.8,50,10.67,P3,0.648
118,Daniellia oliveri,11.5,46.5,8.98,P3,0.533
119,Daniellia oliveri,8.9,33.4,7.63,P3,0.533
120,Khaya senegalensis,28.1,73.4,23.22,P3,0.648
121,Khaya senegalensis,15,52.3,13.78,P3,0.648
122,Khaya senegalensis,16.4,58.9,10.87,P3,0.648
123,Khaya senegalensis,9,38.7,9.29,P3,0.648
124,Daniellia oliveri,10.6,33.1,10.72,P3,0.533
125,Daniellia oliveri,15.5,57.2,10.37,P3,0.533
126,Daniellia oliveri,8.8,28.9,6.95,P3,0.533
127,Daniellia oliveri,10.8,34.2,7.83,P3,0.533
