,Training_Diameter,Testing_Diameter,All_Diameter,Training_Height,Testing_Height,All_Height
Mean,35.99,32.08,35.19,19.2,17.46,18.84
Minimum,17.1,17,17,7.2,8,7.2
Maximum,80,58,80,37.4,29.3,37.4
Standard_Deviation,11.77,10,11.5,6.29,5.52,11.5
Obsersavations(n),97,25,122,97,25,122
