,a,b,c
Power,0.676,0.916,-
Gomperz,48.104,2.639,-
Logistics,41.051,7.387,0.048
Naslund,-42.244,17.019,-
Chapman,86.309,0.007,1.079
Weibull,84.222,0.005,1.064
