,RMSE,RSQUARED,MAPE,BIAS,MAE,AIC,BIC,Accuracy(%)
Power,3.229,0.734,0.158,-0.014,2.558,508.666,516.39,0
Gomperz,3.238,0.732,0.157,-0.006,2.551,511.221,521.52,1.03
Logistics,3.255,0.729,0.159,-0.012,2.573,512.217,522.52,1.03
Naslund,3.302,0.721,0.157,0,2.634,512.991,520.72,2.06
Chapman,3.223,0.734,0.156,-0.005,2.532,510.314,520.61,0
Weibull,3.223,0.734,0.156,-0.005,2.533,510.321,520.62,NA
