,Statistics,Rank,AIC,BIC
Weibull,2.881,4,1655.63,1663.04
Gamma,0.574,1,1628.38,1635.78
Lognormal,0.599,2,1638.47,1645.88
Normal,3.179,5,1664.2,1671.61
Cauchy,6.438,6,1743.48,1750.89
Exponential,57.78,7,2003.05,2006.75
Logistics,2.114,3,1653.45,1660.86
