,Statistics,Rank,AIC,BIC
Weibull,0.359,4,1655.63,1663.04
Gamma,0.061,1,1628.38,1635.78
Lognormal,0.074,2,1638.47,1645.88
Normal,0.457,5,1664.2,1671.61
Cauchy,0.762,6,1743.48,1750.89
Exponential,11.678,7,2003.05,2006.75
Logistics,0.22,3,1653.45,1660.86
