,Shape,Scale,Location,Rate
Weibull,2.799,11.591,-,-
Gamma,7.39,-,-,0.715
Lognormal,-,0.383,2.266,-
Normal,-,3.85,10.33,-
Cauchy,-,2.245,9.573,-
Exponential,-,-,-,0.097
Logistics,-,2.119,10.025,-
