,AGB.kg,AGB.tons,AGB.kg.ha,AGB.tons.ha
Mean,44.9,0.045,18,0.018
Standard Deviation,107.2,0.107,42.9,0.043
Minimum,0.7,0.001,0.3,0
Maximum,496.1,0.496,198.4,0.198
Sample Size,35,35,35,35
