,AGC.kg,AGC.tons,AGC.kg.ha,AGC.tons.ha
Mean,21.1,0.021,7.2,0.007
Standard Deviation,50.4,0.05,17.2,0.017
Minimum,0.3,0,0.1,0
Maximum,233.2,0.233,79.4,0.079
Sample Size,35,35,35,35
