,Species,Frequency,Trees.HA,Proportion...
1,Crossopteryx febrifuga,3,1.2,8.6
2,Prosopis africana,2,0.8,5.7
3,Pterocarpus erinaceus,7,2.8,20
4,Vitex donina,5,2,14.3
5,Lannea schimperiana,2,0.8,5.7
6,Khaya senegalensis,5,2,14.3
7,Terminalia avicennioides,3,1.2,8.6
8,Daniella oliveri,3,1.2,8.6
9,Kegelia africana,2,0.8,5.7
10,Pseudocedrala koschyi,2,0.8,5.7
11,Acacia polycatha,1,0.4,2.9
12,Total,35,14,100
