,DBH.density,DBH.trees.ha,THT.density,THT.trees.ha,CD.density,CD.trees.ha
1 - 5,2,0.8,1,0.4,1,0.4
6 - 10,29,11.6,21,8.4,31,12.4
11 - 15,2,0.8,11,4.4,2,0.8
16 - 20,0,0,0,0,1,0.4
21 - 25,0,0,2,0.8,0,0
25>,2,0.8,0,0,0,0
Total,35,14,35,14,35,14
