,Statistics,Rank,AIC,BIC
Weibull,0.303,6,572.87,578.64
Gamma,0.132,2,569.6,575.37
Lognormal,0.232,5,587.26,593.03
Normal,0.147,3,561.51,567.28
Cauchy,0.222,4,591.59,597.36
Exponential,7.682,7,823.91,826.79
Logistics,0.073,1,554.61,560.37
