,Statistics,Rank,AIC,BIC
Weibull,0.103,5,572.87,578.64
Gamma,0.072,2,569.6,575.37
Lognormal,0.082,3.5,587.26,593.03
Normal,0.082,3.5,561.51,567.28
Cauchy,0.112,6,591.59,597.36
Exponential,0.469,7,823.91,826.79
Logistics,0.061,1,554.61,560.37
