,Shape,Scale,Location,Rate
Weibull,4.222,9.047,-,-
Gamma,15.42,-,-,1.863
Lognormal,-,0.275,2.081,-
Normal,-,1.999,8.276,-
Cauchy,-,1.141,8.174,-
Exponential,-,-,-,0.121
Logistics,-,1.085,8.18,-
