,DIAMETER.TREATMENT.NULL,DIAMETER.TREATMENT.1,DIAMETER.TREATMENT.2,HEIGHT.TREATMENT.NULL,HEIGHT.TREATMENT.1,HEIGHT.TREATMENT.2,No.LEAVES.TREATMENT.NULL,No.LEAVES.TREATMENT.1,No.LEAVES.TREATMENT.2
Mean,4.7,6.3,5.8,25,26.4,33.2,9,8.4,8.3
Standard Deviation,1.3,0.8,1.1,7.7,10,6.4,1.1,1.7,1.9
Minimum,3.1,4.8,4.1,13,2,24,7,5,5
Maximun,6.8,7.3,8.4,38,38,46,10,11,12
