,Df,Sum Sq,Mean Sq,F value,Pr(>F)
TREATMENT  ,2,2.09404761904763,1.04702380952381,0.265558185082423,0.76822681800902
Residuals  ,37,145.880952380952,3.94272844272844,NA,NA
